BRM,2850,Asphalt,09/27
BRN,1730,Asphalt,14/32
BRN,350,Unknown,14R/32L
BRN,650,Unknown,14L/32R
BRO,1828,Asphalt,17/35
BRO,2255,Asphalt,13R/31L
BRO,914,Asphalt,13L/31R
BRQ,2650,Concrete,09/27
BRQ,800,Unknown,08/26
BRR,680,Sand,11/29
BRR,799,Sand,07/25
BRR,846,Sand,15/33
BRS,2011,Asphalt,09/27
BRU,2987,Asphalt,01/19
BRU,3211,Asphalt,07R/25L
BRU,3638,Asphalt,07L/25R
BRW,2164,Asphalt,08/25
BRX,3000,Asphalt,12/30
BSA,3200,Asphalt,09/27
BSB,3200,Asphalt,11L/29R
BSB,3300,Asphalt,11R/29L
BSC,1211,Asphalt,18/36
BSD,2400,Asphalt,01/19
BSG,2133,Asphalt,04/22
BSG,3310,Asphalt,03/21
BSK,2900,Asphalt,13/31
BSL,1820,Concrete,08/26
BSL,3900,Concrete,15/33
BSO,1244,Asphalt,06/24
BSR,4000,Concrete,14/32
BSU,1480,Dirt,06/24
BSX,1341,Concrete,06/24
BTC,1560,Bitumen,06/24
BTH,4044,Asphalt,04/22
BTJ,3000,Asphalt,17/35
BTK,3160,Concrete,12/30
BTM,1554,Asphalt,11/29
BTM,1690,Asphalt,02/20
BTM,2743,Asphalt,15/33
BTO,550,Grass,05/23
BTR,1158,Asphalt,04R/22L
BTR,2135,Asphalt,13/31
BTR,2286,Concrete,04L/22R
BTS,2900,Concrete,04/22
BTS,3190,Concrete,13/31
BTU,2745,Asphalt,17/35
BTV,1253,Asphalt,01/19
BTV,2535,Asphalt,15/33
BUA,1562,Asphalt,04/22
BUC,1372,Asphalt,03/21
BUC,757,Clay,14/32
BUD,3010,Concrete,13R/31L
BUD,3707,Concrete,13L/31R
BUF,2182,Asphalt,14/32
BUF,2691,Asphalt,05/23
BUI,930,Asphalt,10/28
BUN,1202,Asphalt,09/27
BUO,2556,Dirt,04/22
BUQ,1326,Asphalt,02/20
BUQ,2548,Asphalt,13/31
BUR,1768,Asphalt,08/26
BUR,2098,Asphalt,15/33
BUS,2500,Asphalt,13/31
BUT,1200,Asphalt,14/32
BUU,2000,Asphalt,13/31
BUX,1850,Asphalt,10/28
BUZ,4470,Asphalt,13L/31R
BUZ,4470,Asphalt,13R/31L
BVA,1104,Asphalt,04/22
BVA,2430,Asphalt,12/30
BVB,2700,Asphalt,8/26
BVC,2100,Asphalt,03/21
BVE,1000,Unknown,11R/29L
BVE,2100,Asphalt,11/29
BVG,880,Asphalt,06/24
BVH,2600,Asphalt,03/21
BVI,1415,Asphalt,07/25
BWA,3000,Asphalt,10/28
BWE,2300,Asphalt,08/26
BWE,900,Unknown,08R/26L
BWI,1524,Asphalt,15L/33R
BWI,1828,Asphalt,04/22
BWI,2896,Asphalt,15R/33L
BWI,3201,Asphalt,10/28
BWK,1760,Asphalt,04/22
BWN,3685,Asphalt,03/21
BWO,2507,Concrete,03/21
BWT,1650,Asphalt,09/27
BWT,766,Unknown,05/23
BWX,2250,Asphalt,08/26
BXR,3385,Asphalt,12/30
BXT,1000,Asphalt,04/22
BXU,2100,Concrete,12/30
BXW,1000,Asphalt,09/27
BYK,3300,Asphalt,03/21
BYM,2099,Asphalt,07/25
BYN,2100,Grass,16R/34L
BYN,2800,Asphalt,16L/34R
BYO,2000,Asphalt,18/36
BZE,2950,Asphalt,07/25
BZG,2500,Concrete,08/26
BZI,2990,Asphalt,18/36
BZK,2400,Concrete,17/35
BZL,1827,Asphalt,17/35
BZN,2744,Asphalt,12/30
BZN,807,Asphalt,03/21
BZN,974,Unknown,11/29
BZO,1462,Asphalt,01/19
BZO,697,Unknown,01R/19L
BZR,2000,Asphalt,10/28
BZV,3300,Asphalt,05/23
BZX,2600,Concrete,07/25
CAB,2500,Asphalt,18/36
CAC,1780,Asphalt,15/33
CAE,2438,Concrete,05/23
CAE,2621,Asphalt,11/29
CAG,2802,Asphalt,14/32
CAH,1500,Asphalt,09/27
CAI,3301,Asphalt,05L/23R
CAI,3999,Asphalt,05C/23C
CAI,4000,Asphalt,05R/23L
CAJ,2155,Asphalt,18/36
CAK,1706,Asphalt,14/32
CAK,2316,Asphalt,01/19
CAK,2501,Asphalt,05/23
CAL,1750,Asphalt,11/29
CAN,3600,Concrete,01/19
CAN,3800,Asphalt,02L/20R
CAN,3800,Concrete,02R/20L
CAP,2652,Asphalt,05/23
CAT,1700,Asphalt,17/35
CAW,1544,Asphalt,7/25
CAY,3196,Asphalt,08/26
CAZ,1221,Clay,17/35
CAZ,1519,Asphalt,05/23
CBB,2650,Asphalt,04/22
CBB,3797,Asphalt,14/32
CBH,2999,Asphalt,18/36
CBH,3732,Asphalt,06/24
CBO,1900,Asphalt,10/28
CBQ,2450,Asphalt,03/21
CBR,1680,Asphalt,12/30
CBR,3283,Asphalt,17/35
CBT,3700,Asphalt,02/20
CCA,4000,Asphalt,17/35
CCC,3000,Asphalt,08/26
CCF,2050,Asphalt,10/28
CCF,800,Grass,10L/28R
CCJ,2860,Asphalt,10/28
CCK,2441,Asphalt,15/33
CCM,1491,Asphalt,9/27
CCN,2001,Asphalt,06/24
CCP,1972,Asphalt,02R/20L
CCP,2600,Asphalt,02/20
CCS,3270,Asphalt,09/27
CCS,3610,Asphalt,10/28
CCU,3300,Asphalt,01L/19R
CCU,3860,Asphalt,01R/19L
CCV,792,Grass,12/30
CCZ,1524,Bitumen,11/29
CDC,1470,Asphalt,08/26
CDC,2637,Asphalt,02/20
CDE,2800,Concrete,12/30
CDG,2700,Asphalt,08R/26L
CDG,2700,Asphalt,09L/27R
